Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
426,Sergio Reguilón,es ESP,DF,Tottenham,28-135,1996,3,0,123,1.4,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,4,12,10
427,Vitor Reis,br BRA,DF,Manchester City,19-108,2006,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,Chadi Riad,ma MAR,DF,Crystal Palace,21-317,2003,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0
429,Declan Rice,eng ENG,MF,Arsenal,26-106,1999,32,30,"2,572",28.6,2,7,9,2,0,0,7,1,2.7,2.7,6.5,9.1,87,175,88
430,Chris Richards,us USA,DF,Crystal Palace,25-033,2000,20,18,"1,562",17.4,1,0,1,1,0,0,4,1,1.2,1.2,0.1,1.3,5,34,1
431,Richarlison,br BRA,FW,Tottenham,27-355,1997,12,3,408,4.5,4,1,5,4,0,0,2,0,3.6,3.6,0.9,4.5,8,10,19
432,Andrew Robertson,sct SCO,DF,Liverpool,31-050,1994,31,27,"2,308",25.6,0,0,0,0,0,0,3,1,1,1,4.1,5.1,58,165,95
433,Antonee Robinson,us USA,DF,Fulham,27-265,1997,33,32,"2,899",32.2,0,10,10,0,0,0,8,0,0.7,0.7,4.1,4.8,110,120,257
434,Jay Robinson,eng ENG,MF,Southampton,18-046,2007,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
435,Rodri,es ESP,MF,Manchester City,28-312,1996,2,1,65,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
436,Guido Rodríguez,ar ARG,MF,West Ham,31-018,1994,20,14,"1,018",11.3,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,2,31,5
437,Mads Roerslev,dk DEN,DF,Brentford,25-310,1999,19,11,"1,101",12.2,0,2,2,0,0,0,2,0,0.2,0.2,3,3.2,17,51,54
438,Morgan Rogers,eng ENG,"FW,MF",Aston Villa,22-278,2002,33,33,"2,763",30.7,8,8,16,8,0,0,9,0,6.1,6.1,6.9,13,102,113,171
439,Cristian Romero,ar ARG,DF,Tottenham,27-003,1998,18,18,"1,416",15.7,1,0,1,1,0,0,3,0,1.6,1.6,0.6,2.2,12,71,3
440,Georginio Rutter,fr FRA,"MF,FW",Brighton,23-010,2002,28,19,"1,656",18.4,5,3,8,5,0,0,2,0,4.6,4.6,2.5,7.1,42,67,79
441,José Sá,pt POR,GK,Wolves,32-103,1993,26,26,"2,340",26,0,0,0,0,0,0,2,0,0,0,0.1,0.1,0,2,0
442,Bukayo Saka,eng ENG,"FW,MF",Arsenal,23-237,2001,21,17,"1,454",16.2,6,10,16,5,1,1,3,0,5.9,5.1,6.7,11.8,79,61,222
443,Mohamed Salah,eg EGY,FW,Liverpool,32-319,1992,34,34,"3,011",33.5,28,18,46,19,9,9,1,0,23.9,16.9,12.8,29.7,142,129,425
444,William Saliba,fr FRA,DF,Arsenal,24-037,2001,32,32,"2,814",31.3,2,0,2,2,0,0,2,1,2.3,2.3,0.9,3.1,16,134,6
445,Robert Sánchez,es ESP,GK,Chelsea,27-163,1997,28,28,"2,520",28,0,0,0,0,0,0,5,0,0,0,0.1,0.1,0,1,0
446,Jadon Sancho,eng ENG,FW,Chelsea,25-036,2000,28,18,"1,668",18.5,3,4,7,3,0,0,1,0,2,2,3.4,5.4,96,86,214
447,Ibrahim Sangaré,ci CIV,MF,Nott'ham Forest,27-149,1997,8,3,279,3.1,0,1,1,0,0,0,2,0,0,0,0.4,0.4,0,12,2
448,Pablo Sarabia,es ESP,"MF,FW",Wolves,32-354,1992,20,6,690,7.7,3,2,5,3,0,0,3,0,2.9,2.9,1.6,4.5,12,48,51
449,Jeremy Sarmiento,ec ECU,MF,Brighton,22-318,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
450,Ismaila Sarr,sn SEN,"MF,FW",Crystal Palace,27-064,1998,34,26,"2,392",26.6,7,4,11,7,0,0,4,0,8.7,8.7,7,15.7,67,76,164
451,Sávio,br BRA,"FW,MF",Manchester City,21-020,2004,27,21,"1,734",19.3,1,8,9,1,0,0,3,0,4.9,4.9,6.8,11.6,133,66,239
452,Oliver Scarles,eng ENG,DF,West Ham,19-139,2005,14,6,594,6.6,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,11,21,39
453,Dane Scarlett,eng ENG,"FW,MF",Tottenham,21-037,2004,3,0,34,0.4,0,1,1,0,0,0,0,0,0,0,0,0.1,1,1,1
454,Kevin Schade,de GER,FW,Brentford,23-154,2001,33,21,"1,931",21.5,7,2,9,7,0,0,3,0,6.2,6.2,3.3,9.5,54,32,139
455,Fabian Schär,ch SUI,DF,Newcastle Utd,33-131,1991,30,29,"2,575",28.6,4,0,4,4,0,0,7,1,2.1,2.1,0.4,2.5,14,95,17
456,Jeffrey Schlupp,gh GHA,"MF,DF",Crystal Palace,32-128,1992,12,0,103,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,4,5,9
457,Alex Scott,eng ENG,MF,Bournemouth,21-252,2003,17,7,683,7.6,0,0,0,0,0,0,2,0,0.7,0.7,0.8,1.5,14,48,32
458,Matz Sels,be BEL,GK,Nott'ham Forest,33-063,1992,33,33,"2,970",33,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0
459,Nélson Semedo,pt POR,DF,Wolves,31-165,1993,30,29,"2,576",28.6,0,4,4,0,0,0,7,0,0.8,0.8,2.7,3.4,61,70,107
460,Antoine Semenyo,gh GHA,FW,Bournemouth,25-113,2000,33,33,"2,907",32.3,9,4,13,9,0,0,9,0,9.3,9.3,5.7,15,132,106,259
461,Marcos Senesi,ar ARG,DF,Bournemouth,27-355,1997,15,12,"1,014",11.3,0,0,0,0,0,0,5,0,0.8,0.8,0.2,1,12,51,5
462,Ryan Sessegnon,eng ENG,"FW,DF",Fulham,24-347,2000,12,5,414,4.6,4,2,6,4,0,0,0,0,1.6,1.6,0.9,2.5,12,14,47
463,Luke Shaw,eng ENG,DF,Manchester Utd,29-292,1995,4,1,173,1.9,0,0,0,0,0,0,1,0,0,0,0.7,0.7,6,18,7
464,Zain Silcott-Duberry,ms MSR,FW,Bournemouth,19-295,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,Bernardo Silva,pt POR,"MF,FW",Manchester City,30-263,1994,29,25,"2,311",25.7,3,4,7,3,0,0,7,0,3.2,3.2,4.2,7.5,92,109,180
466,Jota Silva,pt POR,"FW,MF",Nott'ham Forest,25-272,1999,27,5,828,9.2,3,1,4,3,0,0,5,0,1.9,1.9,2.9,4.8,19,16,54
467,Eric da Silva Moreira,de GER,"MF,DF",Nott'ham Forest,18-362,2006,2,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
468,Jahmai Simpson-Pusey,eng ENG,DF,Manchester City,19-177,2005,2,1,96,1.1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0
469,Luis Sinisterra,co COL,"FW,MF",Bournemouth,25-317,1999,12,1,236,2.6,1,1,2,1,0,0,0,0,1.2,1.2,1.4,2.6,19,6,38
470,Oliver Skipp,eng ENG,MF,Leicester City,24-226,2000,20,7,907,10.1,0,0,0,0,0,0,7,0,0.2,0.2,0.3,0.4,15,29,18
471,William Smallbone,ie IRL,MF,Southampton,25-068,2000,14,6,612,6.8,1,0,1,1,0,0,1,0,0.4,0.4,0.6,1.1,5,23,21
472,Adam Smith,eng ENG,DF,Bournemouth,34-001,1991,22,17,"1,409",15.7,0,0,0,0,0,0,6,0,0.7,0.7,0.3,1,12,40,31
473,Emile Smith Rowe,eng ENG,MF,Fulham,24-276,2000,30,23,"1,852",20.6,6,2,8,6,0,0,2,0,4.4,4.4,1.1,5.5,50,120,113
474,Dominic Solanke,eng ENG,FW,Tottenham,27-228,1997,25,24,"2,119",23.5,8,3,11,8,0,0,0,0,10.1,10.1,2.9,13.1,29,45,88
475,Carlos Soler,es ESP,"MF,FW",West Ham,28-118,1997,28,14,"1,347",15,1,1,2,1,0,0,5,0,1.7,1.7,1.2,2.9,16,52,33
476,Julio Soler,ar ARG,FW,Bournemouth,20-073,2005,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
477,Ramón Sosa,py PAR,"FW,MF",Nott'ham Forest,25-242,1999,17,1,264,2.9,1,0,1,1,0,0,1,0,0.9,0.9,0.5,1.4,12,4,15
478,Tomáš Souček,cz CZE,MF,West Ham,30-062,1995,31,26,"2,251",25,8,1,9,8,0,0,8,0,5.9,5.9,1,7,6,68,62
479,Boubakary Soumaré,fr FRA,MF,Leicester City,26-062,1999,27,23,"1,953",21.7,0,0,0,0,0,0,8,0,0.3,0.3,0.4,0.7,31,94,21
480,Djed Spence,eng ENG,DF,Tottenham,24-264,2000,21,16,"1,514",16.8,1,2,3,1,0,0,4,1,0.6,0.6,1.7,2.3,53,98,68
481,Jay Stansfield,eng ENG,MF,Fulham,22-157,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482,Jason Steele,eng ENG,GK,Brighton,34-255,1990,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483,Jack Stephens,eng ENG,DF,Southampton,31-093,1994,16,14,"1,164",12.9,1,0,1,1,0,0,2,2,0.6,0.6,0.2,0.7,13,50,2
484,Raheem Sterling,eng ENG,"FW,MF",Arsenal,30-143,1994,15,6,432,4.8,0,2,2,0,0,0,1,0,1.3,1.3,0.5,1.8,25,17,71
485,Ross Stewart,sct SCO,FW,Southampton,28-293,1996,8,2,241,2.7,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,1,1,6
486,Jakub Stolarczyk,pl POL,GK,Leicester City,24-132,2000,6,6,540,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
487,John Stones,eng ENG,"DF,MF",Manchester City,30-337,1994,11,6,548,6.1,2,0,2,2,0,0,1,0,0.4,0.4,0.1,0.5,10,21,2
488,Jørgen Strand Larsen,no NOR,FW,Wolves,25-083,2000,32,29,"2,463",27.4,13,2,15,13,0,0,4,0,10,10,2.4,12.4,16,28,106
489,Yukinari Sugawara,jp JPN,"DF,MF",Southampton,24-306,2000,29,15,"1,467",16.3,1,1,2,1,0,0,4,0,0.5,0.5,2.2,2.7,32,68,76
490,Kamaldeen Sulemana,gh GHA,"FW,MF",Southampton,23-074,2002,22,13,"1,122",12.5,1,1,2,1,0,0,1,0,1.3,1.3,0.7,2,56,25,72
491,Crysencio Summerville,nl NED,"FW,MF",West Ham,23-182,2001,19,7,786,8.7,1,1,2,1,0,0,2,0,1.6,1.6,1.7,3.3,29,18,71
492,Sammie Szmodics,ie IRL,"FW,MF",Ipswich Town,29-218,1995,19,13,979,10.9,4,0,4,4,0,0,2,0,3.4,3.4,0.2,3.6,16,18,46
493,Dominik Szoboszlai,hu HUN,MF,Liverpool,24-187,2000,32,26,"2,257",25.1,5,5,10,5,0,0,6,0,7.1,7.1,6.2,13.3,65,114,120
494,Matt Targett,eng ENG,DF,Newcastle Utd,29-224,1995,2,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
495,James Tarkowski,eng ENG,DF,Everton,32-162,1992,33,33,"2,922",32.5,1,1,2,1,0,0,6,0,1.3,1.3,2.9,4.2,9,75,3
496,Marcus Tavernier,eng ENG,"FW,MF",Bournemouth,26-039,1999,25,16,"1,580",17.6,3,5,8,3,0,0,5,0,5.2,5.2,2.8,8.1,39,99,103
497,Charlie Taylor,eng ENG,DF,Southampton,31-224,1993,7,2,266,3,0,0,0,0,0,0,1,0,0,0,0.1,0.1,3,8,6
498,Jack Taylor,ie IRL,MF,Ipswich Town,26-311,1998,28,2,685,7.6,1,0,1,1,0,0,3,0,0.7,0.7,0.5,1.2,11,39,18
499,Mathys Tel,fr FRA,FW,Tottenham,20-003,2005,9,7,559,6.2,2,0,2,1,1,1,0,0,2.2,1.4,0.9,2.3,16,13,50
500,Kenny Tete,nl NED,DF,Fulham,29-203,1995,18,17,"1,438",16,0,2,2,0,0,0,3,0,1.2,1.2,0.9,2.1,33,46,45
501,Thiago,br BRA,FW,Brentford,23-308,2001,4,1,132,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,2,4
502,Luke Thomas,eng ENG,DF,Leicester City,23-324,2001,10,9,783,8.7,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.3,3,26,9
503,Youri Tielemans,be BEL,MF,Aston Villa,27-358,1997,34,34,"2,915",32.4,2,7,9,2,0,1,4,0,3,2.3,6.9,9.2,37,226,44
504,Kieran Tierney,sct SCO,"DF,FW",Arsenal,27-329,1997,10,1,181,2,0,0,0,0,0,0,0,0,0.2,0.2,0.9,1.1,5,12,22
505,Jurriën Timber,nl NED,DF,Arsenal,23-317,2001,30,27,"2,417",26.9,1,3,4,1,0,0,7,0,1.2,1.2,0.8,2.1,57,146,104
506,Jean-Clair Todibo,fr FRA,DF,West Ham,25-121,1999,23,16,"1,485",16.5,0,0,0,0,0,0,2,0,0.2,0.2,0,0.2,9,28,5
507,Harry Toffolo,eng ENG,DF,Nott'ham Forest,29-254,1995,4,1,137,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4
508,Takehiro Tomiyasu,jp JPN,DF,Arsenal,26-176,1998,1,0,7,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,1,0
509,Sandro Tonali,it ITA,MF,Newcastle Utd,24-357,2000,32,24,"2,270",25.2,3,2,5,3,0,0,5,0,3.6,3.6,1.4,5,33,113,47
510,Pau Torres,es ESP,DF,Aston Villa,28-104,1997,20,20,"1,729",19.2,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.6,33,74,4
511,Conor Townsend,eng ENG,DF,Ipswich Town,32-057,1993,6,3,335,3.7,0,1,1,0,0,0,1,0,0,0,0.7,0.7,2,8,13
512,Adama Traoré,es ESP,"FW,MF",Fulham,29-095,1996,32,16,"1,568",17.4,2,6,8,2,0,0,2,0,3.8,3.8,4.7,8.5,87,61,143
513,Boubacar Traoré,ml MLI,MF,Wolves,23-253,2001,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514,Mark Travers,ie IRL,GK,Bournemouth,25-347,1999,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515,Ryan Trevitt,eng ENG,MF,Brentford,22-049,2003,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
516,Kieran Trippier,eng ENG,DF,Newcastle Utd,34-223,1990,23,13,"1,192",13.2,0,3,3,0,0,0,1,0,0.1,0.1,1.3,1.3,25,106,52
517,Leandro Trossard,be BEL,FW,Arsenal,30-147,1994,34,25,"2,264",25.2,8,5,13,8,0,0,4,1,6.6,6.6,5.1,11.8,71,91,202
518,Kostas Tsimikas,gr GRE,DF,Liverpool,28-353,1996,16,7,666,7.4,0,1,1,0,0,0,2,0,0.4,0.4,1.8,2.2,15,67,38
519,Axel Tuanzebe,cd COD,DF,Ipswich Town,27-167,1997,18,17,"1,445",16.1,0,1,1,0,0,0,5,1,0.2,0.2,0.3,0.5,9,45,8
520,Destiny Udogie,it ITA,DF,Tottenham,22-153,2002,24,23,"1,834",20.4,0,1,1,0,0,0,2,0,0.3,0.3,1.5,1.8,54,120,93
521,Manuel Ugarte Ribeiro,uy URU,MF,Manchester Utd,24-019,2001,26,20,"1,616",18,1,1,2,1,0,0,9,0,1,1,1.1,2,12,55,19
522,Lesley Ugochukwu,fr FRA,MF,Southampton,21-035,2004,23,15,"1,447",16.1,1,1,2,1,0,0,5,0,0.8,0.8,1,1.8,27,48,20
523,Enes Ünal,tr TUR,"FW,MF",Bournemouth,27-355,1997,17,2,345,3.8,2,1,3,2,0,0,2,0,2.7,2.7,0.4,3.1,4,12,22
524,Virgil van Dijk,nl NED,DF,Liverpool,33-296,1991,34,34,"3,060",34,2,1,3,2,0,0,3,0,2,2,0.7,2.7,18,176,6
525,Jamie Vardy,eng ENG,FW,Leicester City,38-109,1987,32,32,"2,571",28.6,7,3,10,6,1,2,5,0,10.2,8.7,2.9,11.6,27,20,108
526,Renato Veiga,pt POR,"DF,MF",Chelsea,21-275,2003,7,1,181,2,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,4,7,3
527,Joël Veltman,nl NED,DF,Brighton,33-105,1992,19,19,"1,643",18.3,0,0,0,0,0,0,4,0,0.5,0.5,0.5,0.9,29,79,32
528,Micky van de Ven,nl NED,DF,Tottenham,24-011,2001,12,11,950,10.6,0,2,2,0,0,0,4,0,0.6,0.6,1.2,1.7,8,51,1
529,Bart Verbruggen,nl NED,GK,Brighton,22-255,2002,32,32,"2,880",32,0,1,1,0,0,0,5,0,0,0,0,0,0,2,0
530,Jannik Vestergaard,dk DEN,DF,Leicester City,32-270,1992,18,16,"1,391",15.5,0,0,0,0,0,0,5,0,0.1,0.1,0.1,0.2,3,32,2
531,Guglielmo Vicario,it ITA,GK,Tottenham,28-205,1996,22,22,"1,980",22,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
532,Carlos Vinícius,br BRA,"MF,FW",Fulham,30-036,1995,3,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
533,Kyle Walker,eng ENG,DF,Manchester City,34-337,1990,15,9,970,10.8,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.6,12,64,11
534,Kyle Walker-Peters,eng ENG,DF,Southampton,28-017,1997,32,32,"2,828",31.4,0,2,2,0,0,0,5,0,0.8,0.8,2.7,3.6,112,134,139
535,Christian Walton,eng ENG,GK,Ipswich Town,29-172,1995,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536,Aaron Wan-Bissaka,eng ENG,DF,West Ham,27-155,1997,32,31,"2,794",31,2,2,4,2,0,0,1,0,1.2,1.2,2.9,4,98,125,139
537,Danny Ward,wls WAL,GK,Leicester City,31-312,1993,2,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
538,Joel Ward,eng ENG,DF,Crystal Palace,35-183,1989,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
539,James Ward-Prowse,eng ENG,MF,West Ham,30-180,1994,11,9,802,8.9,0,1,1,0,0,0,2,0,0.5,0.5,1.1,1.6,9,45,4
540,James Ward-Prowse,eng ENG,MF,Nott'ham Forest,30-180,1994,9,5,400,4.4,0,1,1,0,0,0,2,1,0.1,0.1,1.1,1.2,1,16,3
541,Ollie Watkins,eng ENG,FW,Aston Villa,29-121,1995,34,27,"2,263",25.1,15,7,22,13,2,2,2,0,14.5,13,2.9,15.9,50,28,143
542,Adam Webster,eng ENG,DF,Brighton,30-116,1995,11,8,617,6.9,0,0,0,0,0,0,0,0,0,0,0.5,0.5,7,40,2
543,Danny Welbeck,eng ENG,FW,Brighton,34-155,1990,27,21,"1,852",20.6,9,4,13,9,0,0,4,0,8.1,8.1,1.1,9.2,19,40,80
544,Welington,br BRA,"DF,MF",Southampton,24-070,2001,7,3,215,2.4,0,0,0,0,0,0,1,0,0,0,0,0.1,3,6,10
545,Timo Werner,de GER,"FW,MF",Tottenham,29-055,1996,18,4,516,5.7,0,3,3,0,0,0,0,0,1,1,2.5,3.5,42,30,89
546,Adam Wharton,eng ENG,MF,Crystal Palace,20-332,2004,19,15,"1,258",14,0,2,2,0,0,0,2,0,0.3,0.3,3,3.3,14,105,10
547,Ben White,eng ENG,DF,Arsenal,27-204,1997,13,9,856,9.5,0,1,1,0,0,0,2,0,0.4,0.4,0.8,1.2,10,42,27
548,Mats Wieffer,nl NED,"MF,DF",Brighton,25-165,1999,21,6,692,7.7,1,2,3,1,0,0,4,0,0.7,0.7,1.3,2.1,12,49,17
549,Neco Williams,wls WAL,DF,Nott'ham Forest,24-017,2001,30,23,"2,144",23.8,1,2,3,1,0,0,5,0,2.2,2.2,1.4,3.6,54,70,81
550,Willian,br BRA,"FW,MF",Fulham,36-264,1988,8,2,226,2.5,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.7,8,36,29
551,Joe Willock,eng ENG,"MF,FW",Newcastle Utd,25-253,1999,29,10,953,10.6,0,2,2,0,0,0,2,0,1.5,1.5,1.9,3.4,34,35,76
552,Callum Wilson,eng ENG,FW,Newcastle Utd,33-062,1992,14,1,268,3,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,5,3,11
553,Harry Wilson,wls WAL,"FW,MF",Fulham,28-039,1997,21,9,937,10.4,5,1,6,5,0,0,2,0,3.2,3.2,1.1,4.3,16,46,79
554,Harry Winks,eng ENG,MF,Leicester City,29-087,1996,22,17,"1,538",17.1,0,2,2,0,0,0,4,0,0.2,0.2,1.2,1.5,19,101,11
555,Ben Winterburn,eng ENG,"FW,MF",Bournemouth,20-238,2004,3,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
556,Yoane Wissa,cd COD,FW,Brentford,28-239,1996,30,29,"2,470",27.4,16,3,19,16,0,0,2,0,14.9,14.9,1.8,16.7,48,56,131
557,Chris Wood,nz NZL,FW,Nott'ham Forest,33-144,1991,31,30,"2,509",27.9,19,3,22,16,3,3,1,0,11.1,8.8,2.3,11,13,34,74
558,Nathan Wood-Gordon,eng ENG,DF,Southampton,22-334,2002,9,7,624,6.9,0,0,0,0,0,0,2,0,0.2,0.2,0,0.3,2,17,0
559,Luke Woolfenden,eng ENG,DF,Ipswich Town,26-191,1998,14,11,"1,097",12.2,0,0,0,0,0,0,2,0,0,0,0,0,7,15,0
560,Yehor Yarmoliuk,ua UKR,MF,Brentford,21-060,2004,26,10,"1,039",11.5,0,0,0,0,0,0,4,0,0.6,0.6,0.3,0.9,12,45,42
561,Ryan Yates,eng ENG,MF,Nott'ham Forest,27-160,1997,30,17,"1,775",19.7,2,1,3,2,0,0,9,0,2.3,2.3,1.1,3.4,17,45,12
562,Leny Yoro,fr FRA,DF,Manchester Utd,19-168,2005,19,11,"1,069",11.9,0,0,0,0,0,0,5,0,0.7,0.7,0,0.7,19,48,4
563,Ashley Young,eng ENG,"DF,FW",Everton,39-295,1985,28,17,"1,613",17.9,1,3,4,1,0,0,6,1,0.3,0.3,1.6,1.8,20,82,26
564,Illia Zabarnyi,ua UKR,DF,Bournemouth,22-241,2002,32,31,"2,752",30.6,0,0,0,0,0,0,3,1,1.1,1.1,0.6,1.6,24,125,4
565,Oleksandr Zinchenko,ua UKR,"DF,MF",Arsenal,28-136,1996,12,4,450,5,0,1,1,0,0,0,1,0,0.3,0.3,0.1,0.4,10,35,12
566,Joshua Zirkzee,nl NED,"FW,MF",Manchester Utd,23-343,2001,32,14,"1,402",15.6,3,1,4,3,0,0,2,0,4.8,4.8,1.5,6.3,14,44,69
567,Martin Ødegaard,no NOR,MF,Arsenal,26-134,1998,26,23,"2,040",22.7,2,6,8,1,1,1,4,0,4.4,3.7,4.6,8.2,79,231,142